1,-0.183
2,-0.057
3,-0.324
4,-0.108
5,-0.131
6,-0.235
7,-0.197
8,-0.163
9,-0.231
10,-0.233
11,-0.212
12,-0.321
13,-0.238
14,-0.171
15,-0.196
16,-0.15
17,-0.116
18,-0.115
19,-0.189
20,-0.275
21,-0.117
22,-0.319
23,-0.13
24,-0.243
25,-0.335
26,-0.126
27,-0.129
28,-0.248
29,-0.259
30,-0.139
31,-0.299
32,-0.117
33,-0.226
34,-0.16
35,-0.254
36,-0.213
37,-0.121
38,-0.2
39,-0.151
40,-0.333
41,-0.26
42,-0.162
43,-0.153
44,-0.183
45,-0.263
46,-0.188
47,-0.202
48,-0.405
49,-0.185
50,-0.369
51,-0.281
52,-0.112
53,-0.124
54,-0.345
55,-0.175
56,-0.346
57,-0.138
58,-0.216
59,-0.249
60,-0.294
61,-0.279
62,-0.221
63,-0.218
64,-0.205
65,-0.121
66,-0.128
67,-0.186
68,-0.153
69,-0.095
70,-0.188
71,-0.233
72,-0.234
