p15,twelve,0.011,n't,0.015
p15,seven,0.011,three,0.015
p15,give,0.011,put,0.011
p15,``,0.011,use,0.011
p16,answer,0.034,one,0.061
p16,two,0.028,ten,0.057
p16,put,0.027,plus,0.049
p16,three,0.027,five,0.045
p16,step,0.026,equals,0.041
p16,figure,0.026,hundred,0.039
p16,think,0.024,times,0.029
p16,five,0.021,twenty,0.027
p16,one,0.021,three,0.027
p16,okay,0.021,answer,0.024
p16,need,0.020,add,0.022
p16,times,0.017,get,0.018
p16,know,0.016,two,0.018
p16,twenty,0.016,nico,0.018
p16,'s,0.014,fifty,0.016
p16,hundred,0.014,like,0.016
p16,help,0.013,seven,0.016
p16,explain,0.013,yes,0.014
p16,next,0.013,six,0.014
p16,problem,0.013,thirty,0.012
p16,bags,0.013,okay,0.010
p16,go,0.011,point,0.010
p16,get,0.011,number,0.010
p16,'m,0.011,would,0.010
p16,paint,0.010,sure,0.010
p17,three,0.034,multiply,0.060
p17,two,0.029,amount,0.056
p17,need,0.025,yes,0.044
p17,paint,0.023,eminem,0.044
p17,figure,0.023,'s,0.040
p17,think,0.022,total,0.036
p17,okay,0.022,three,0.032
p17,multiply,0.022,paint,0.032
p17,five,0.020,five,0.032
p17,put,0.020,surface,0.028
p17,times,0.020,area,0.028
p17,answer,0.020,six,0.028
p17,one,0.019,volume,0.028
p17,much,0.018,ten,0.024
p17,``,0.018,times,0.024
p17,'',0.018,feet,0.020
p17,'s,0.015,much,0.020
p17,great,0.015,get,0.020
p17,get,0.013,double,0.020
p17,point,0.013,miles,0.020
p17,sweet,0.013,seven,0.016
p17,feet,0.013,divide,0.016
p17,twenty,0.013,bags,0.016
p17,bags,0.013,hundred,0.016
p17,hundred,0.012,one,0.016
p18,think,0.026,six,0.069
p18,one,0.026,one,0.069
p18,three,0.026,ten,0.061
p18,two,0.024,three,0.061
p18,'m,0.022,know,0.056
p18,get,0.021,two,0.035
p18,miles,0.019,times,0.035
p18,step,0.019,equals,0.030
p18,put,0.019,look,0.030
p18,great,0.019,thirty,0.030
p18,figure,0.019,paint,0.026
p18,answer,0.019,hundred,0.026
p18,need,0.017,multiply,0.026
p18,go,0.015,yes,0.022
p18,really,0.015,divided,0.022
p18,hours,0.015,surface,0.017
p18,sweet,0.015,area,0.017
p18,n't,0.015,plus,0.017
p18,okay,0.015,eminem,0.013
p18,multiply,0.015,five,0.013
p18,'s,0.013,twenty,0.013
p18,paint,0.013,hours,0.013
p18,problem,0.013,equal,0.013
p18,help,0.011,value,0.013
p18,four,0.011,hour,0.009
p19,two,0.037,multiply,0.063
p19,think,0.026,one,0.050
p19,five,0.023,ten,0.040
p19,one,0.023,five,0.036
p19,three,0.023,hundred,0.036
p19,get,0.021,figure,0.036
p19,put,0.021,would,0.033
p19,answer,0.021,yeah,0.026
p19,great,0.019,times,0.026
p19,need,0.019,need,0.026
p19,step,0.017,six,0.026
p19,paint,0.017,equals,0.023
p19,okay,0.017,okay,0.020
p19,'s,0.016,answer,0.020
p19,figure,0.016,'s,0.020
p19,bags,0.016,two,0.020
p19,multiply,0.016,yes,0.017
p19,'m,0.016,get,0.017
p19,miles,0.014,see,0.017
p19,hundred,0.014,first,0.017
p19,times,0.012,eminem,0.013
p19,help,0.010,twenty,0.013
p19,go,0.010,much,0.013
p19,oh,0.010,three,0.013
p19,sweet,0.010,seven,0.013
p2,need,0.046,six,0.058
p2,paint,0.040,get,0.040
p2,two,0.034,three,0.040
p2,put,0.026,five,0.036
p2,think,0.026,'s,0.031
p2,much,0.023,one,0.027
p2,figure,0.023,ten,0.027
p2,step,0.020,give,0.027
p2,one,0.020,know,0.022
p2,'m,0.020,times,0.022
p2,help,0.017,twenty,0.022
p2,first,0.017,paint,0.022
p2,legs,0.017,us,0.022
p2,answer,0.017,figure,0.022
p2,okay,0.017,saying,0.018
p2,``,0.014,yes,0.018
p2,torso,0.014,like,0.018
p2,'',0.014,would,0.018
p2,sure,0.014,divided,0.018
p2,though,0.014,answer,0.018
p2,multiply,0.014,multiply,0.018
p2,four,0.011,right,0.013
p2,go,0.011,equals,0.013
p2,hint,0.011,put,0.013
p2,waterproof,0.011,think,0.013
p20,two,0.052,ten,0.081
p20,three,0.035,one,0.075
p20,five,0.029,three,0.060
p20,put,0.029,get,0.045
p20,one,0.029,equals,0.045
p20,answer,0.027,point,0.036
p20,point,0.025,times,0.034
p20,need,0.025,hundred,0.034
p20,okay,0.023,four,0.026
p20,ten,0.021,five,0.026
p20,paint,0.021,seven,0.024
p20,four,0.019,yes,0.021
