p10_mod,915
p10_nico_mod,355
p11_mod,701
p11_nico_mod,150
p12_mod,794
p12_nico_mod,262
p13_mod,948
p13_nico_mod,263
p14_mod,660
p14_nico_mod,255
p15_mod,465
p15_nico_mod,268
p16_mod,704
p16_nico_mod,490
p17_mod,685
p17_nico_mod,248
p18_mod,536
p18_nico_mod,231
p19_mod,572
p19_nico_mod,302
p1_mod,614
p1_nico_mod,164
p20_mod,484
p20_nico_mod,468
p21_mod,579
p21_nico_mod,664
p22_mod,587
p22_nico_mod,166
p23_mod,778
p23_nico_mod,562
p24_mod,612
p24_nico_mod,570
p25_mod,560
p25_nico_mod,363
p26_mod,814
p26_nico_mod,371
p27_mod,504
p27_nico_mod,275
p28_mod,843
p28_nico_mod,234
p29_mod,786
p29_nico_mod,173
p2_mod,350
p2_nico_mod,225
p30_mod,778
p30_nico_mod,186
p31_mod,531
p31_nico_mod,150
p32_mod,827
p32_nico_mod,484
p33_mod,820
p33_nico_mod,468
p34_mod,836
p34_nico_mod,304
p35_mod,765
p35_nico_mod,267
p36_mod,810
p36_nico_mod,365
p37_mod,791
p37_nico_mod,333
p38_mod,753
p38_nico_mod,277
p39_mod,492
p39_nico_mod,223
p3_mod,644
p3_nico_mod,205
p40_mod,536
p40_nico_mod,136
p41_mod,573
p41_nico_mod,226
p42_mod,640
p42_nico_mod,565
p43_mod,542
p43_nico_mod,138
p44_mod,446
p44_nico_mod,268
p45_mod,519
p45_nico_mod,123
p46_mod,847
p46_nico_mod,485
p47_mod,696
p47_nico_mod,394
p48_mod,768
p48_nico_mod,298
p49_mod,852
p49_nico_mod,291
p4_mod,879
p4_nico_mod,259
p50_mod,394
p50_nico_mod,116
p51_mod,714
p51_nico_mod,159
p52_mod,959
p52_nico_mod,433
p53_mod,831
p53_nico_mod,583
p54_mod,616
p54_nico_mod,346
p55_mod,884
p55_nico_mod,273
p56_mod,313
p56_nico_mod,102
p57_mod,779
p57_nico_mod,268
p58_mod,732
p58_nico_mod,187
p59_mod,770
p59_nico_mod,194
p5_mod,446
p5_nico_mod,486
p60_mod,540
p60_nico_mod,201
p61_mod,242
p61_nico_mod,49
p62_mod,584
p62_nico_mod,103
p63_mod,724
p63_nico_mod,300
p64_mod,758
p64_nico_mod,625
p65_mod,651
p65_nico_mod,288
p66_mod,708
p66_nico_mod,278
p67_mod,1039
p67_nico_mod,290
p68_mod,443
p68_nico_mod,78
p69_mod,992
p69_nico_mod,498
p6_mod,438
p6_nico_mod,206
p70_mod,494
p70_nico_mod,290
p71_mod,602
p71_nico_mod,309
p72_mod,618
p72_nico_mod,161
p7_mod,714
p7_nico_mod,621
p8_mod,633
p8_nico_mod,263
p9_mod,649
p9_nico_mod,212
